PassengerId,Survived,Pclass,Age,Fare,FamilySize,Sex_binary,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Is_Adult_No,Is_Adult_Yes
1,0,3,22.0,7.25,1,0,False,True,False,False,True,False,True
2,1,1,38.0,71.2833,1,1,True,False,True,False,False,False,True
3,1,3,26.0,7.925,0,1,True,False,False,False,True,False,True
4,1,1,35.0,53.1,1,1,True,False,False,False,True,False,True
5,0,3,35.0,8.05,0,0,False,True,False,False,True,False,True
6,0,3,29.69911764705882,8.4583,0,0,False,True,False,True,False,False,True
7,0,1,54.0,51.8625,0,0,False,True,False,False,True,False,True
8,0,3,2.0,21.075,4,0,False,True,False,False,True,True,False
9,1,3,27.0,11.1333,2,1,True,False,False,False,True,False,True
10,1,2,14.0,30.0708,1,1,True,False,True,False,False,True,False
11,1,3,4.0,16.7,2,1,True,False,False,False,True,True,False
12,1,1,58.0,26.55,0,1,True,False,False,False,True,False,True
13,0,3,20.0,8.05,0,0,False,True,False,False,True,False,True
14,0,3,39.0,31.275,6,0,False,True,False,False,True,False,True
15,0,3,14.0,7.8542,0,1,True,False,False,False,True,True,False
16,1,2,55.0,16.0,0,1,True,False,False,False,True,False,True
17,0,3,2.0,29.125,5,0,False,True,False,True,False,True,False
18,1,2,29.69911764705882,13.0,0,0,False,True,False,False,True,False,True
19,0,3,31.0,18.0,1,1,True,False,False,False,True,False,True
20,1,3,29.69911764705882,7.225,0,1,True,False,True,False,False,False,True
21,0,2,35.0,26.0,0,0,False,True,False,False,True,False,True
22,1,2,34.0,13.0,0,0,False,True,False,False,True,False,True
23,1,3,15.0,8.0292,0,1,True,False,False,True,False,True,False
24,1,1,28.0,35.5,0,0,False,True,False,False,True,False,True
25,0,3,8.0,21.075,4,1,True,False,False,False,True,True,False
26,1,3,38.0,31.3875,6,1,True,False,False,False,True,False,True
27,0,3,29.69911764705882,7.225,0,0,False,True,True,False,False,False,True
28,0,1,19.0,263.0,5,0,False,True,False,False,True,False,True
29,1,3,29.69911764705882,7.8792,0,1,True,False,False,True,False,False,True
30,0,3,29.69911764705882,7.8958,0,0,False,True,False,False,True,False,True
31,0,1,40.0,27.7208,0,0,False,True,True,False,False,False,True
32,1,1,29.69911764705882,146.5208,1,1,True,False,True,False,False,False,True
33,1,3,29.69911764705882,7.75,0,1,True,False,False,True,False,False,True
34,0,2,66.0,10.5,0,0,False,True,False,False,True,False,True
35,0,1,28.0,82.1708,1,0,False,True,True,False,False,False,True
36,0,1,42.0,52.0,1,0,False,True,False,False,True,False,True
37,1,3,29.69911764705882,7.2292,0,0,False,True,True,False,False,False,True
38,0,3,21.0,8.05,0,0,False,True,False,False,True,False,True
39,0,3,18.0,18.0,2,1,True,False,False,False,True,False,True
40,1,3,14.0,11.2417,1,1,True,False,True,False,False,True,False
41,0,3,40.0,9.475,1,1,True,False,False,False,True,False,True
42,0,2,27.0,21.0,1,1,True,False,False,False,True,False,True
43,0,3,29.69911764705882,7.8958,0,0,False,True,True,False,False,False,True
44,1,2,3.0,41.5792,3,1,True,False,True,False,False,True,False
45,1,3,19.0,7.8792,0,1,True,False,False,True,False,False,True
46,0,3,29.69911764705882,8.05,0,0,False,True,False,False,True,False,True
47,0,3,29.69911764705882,15.5,1,0,False,True,False,True,False,False,True
48,1,3,29.69911764705882,7.75,0,1,True,False,False,True,False,False,True
49,0,3,29.69911764705882,21.6792,2,0,False,True,True,False,False,False,True
50,0,3,18.0,17.8,1,1,True,False,False,False,True,False,True
51,0,3,7.0,39.6875,5,0,False,True,False,False,True,True,False
52,0,3,21.0,7.8,0,0,False,True,False,False,True,False,True
53,1,1,49.0,76.7292,1,1,True,False,True,False,False,False,True
54,1,2,29.0,26.0,1,1,True,False,False,False,True,False,True
55,0,1,65.0,61.9792,1,0,False,True,True,False,False,False,True
56,1,1,29.69911764705882,35.5,0,0,False,True,False,False,True,False,True
57,1,2,21.0,10.5,0,1,True,False,False,False,True,False,True
58,0,3,28.5,7.2292,0,0,False,True,True,False,False,False,True
59,1,2,5.0,27.75,3,1,True,False,False,False,True,True,False
60,0,3,11.0,46.9,7,0,False,True,False,False,True,True,False
61,0,3,22.0,7.2292,0,0,False,True,True,False,False,False,True
62,1,1,38.0,80.0,0,1,True,False,False,False,False,False,True
63,0,1,45.0,83.475,1,0,False,True,False,False,True,False,True
64,0,3,4.0,27.9,5,0,False,True,False,False,True,True,False
65,0,1,29.69911764705882,27.7208,0,0,False,True,True,False,False,False,True
66,1,3,29.69911764705882,15.2458,2,0,False,True,True,False,False,False,True
67,1,2,29.0,10.5,0,1,True,False,False,False,True,False,True
68,0,3,19.0,8.1583,0,0,False,True,False,False,True,False,True
69,1,3,17.0,7.925,6,1,True,False,False,False,True,True,False
70,0,3,26.0,8.6625,2,0,False,True,False,False,True,False,True
71,0,2,32.0,10.5,0,0,False,True,False,False,True,False,True
72,0,3,16.0,46.9,7,1,True,False,False,False,True,True,False
73,0,2,21.0,73.5,0,0,False,True,False,False,True,False,True
74,0,3,26.0,14.4542,1,0,False,True,True,False,False,False,True
75,1,3,32.0,56.4958,0,0,False,True,False,False,True,False,True
76,0,3,25.0,7.65,0,0,False,True,False,False,True,False,True
77,0,3,29.69911764705882,7.8958,0,0,False,True,False,False,True,False,True
78,0,3,29.69911764705882,8.05,0,0,False,True,False,False,True,False,True
79,1,2,0.83,29.0,2,0,False,True,False,False,True,True,False
80,1,3,30.0,12.475,0,1,True,False,False,False,True,False,True
81,0,3,22.0,9.0,0,0,False,True,False,False,True,False,True
82,1,3,29.0,9.5,0,0,False,True,False,False,True,False,True
83,1,3,29.69911764705882,7.7875,0,1,True,False,False,True,False,False,True
84,0,1,28.0,47.1,0,0,False,True,False,False,True,False,True
85,1,2,17.0,10.5,0,1,True,False,False,False,True,True,False
86,1,3,33.0,15.85,3,1,True,False,False,False,True,False,True
87,0,3,16.0,34.375,4,0,False,True,False,False,True,True,False
88,0,3,29.69911764705882,8.05,0,0,False,True,False,False,True,False,True
89,1,1,23.0,263.0,5,1,True,False,False,False,True,False,True
90,0,3,24.0,8.05,0,0,False,True,False,False,True,False,True
91,0,3,29.0,8.05,0,0,False,True,False,False,True,False,True
92,0,3,20.0,7.8542,0,0,False,True,False,False,True,False,True
93,0,1,46.0,61.175,1,0,False,True,False,False,True,False,True
94,0,3,26.0,20.575,3,0,False,True,False,False,True,False,True
95,0,3,59.0,7.25,0,0,False,True,False,False,True,False,True
96,0,3,29.69911764705882,8.05,0,0,False,True,False,False,True,False,True
97,0,1,71.0,34.6542,0,0,False,True,True,False,False,False,True
98,1,1,23.0,63.3583,1,0,False,True,True,False,False,False,True
99,1,2,34.0,23.0,1,1,True,False,False,False,True,False,True
100,0,2,34.0,26.0,1,0,False,True,False,False,True,False,True
101,0,3,28.0,7.8958,0,1,True,False,False,False,True,False,True
102,0,3,29.69911764705882,7.8958,0,0,False,True,False,False,True,False,True
103,0,1,21.0,77.2875,1,0,False,True,False,False,True,False,True
104,0,3,33.0,8.6542,0,0,False,True,False,False,True,False,True
105,0,3,37.0,7.925,2,0,False,True,False,False,True,False,True
106,0,3,28.0,7.8958,0,0,False,True,False,False,True,False,True
107,1,3,21.0,7.65,0,1,True,False,False,False,True,False,True
108,1,3,29.69911764705882,7.775,0,0,False,True,False,False,True,False,True
109,0,3,38.0,7.8958,0,0,False,True,False,False,True,False,True
110,1,3,29.69911764705882,24.15,1,1,True,False,False,True,False,False,True
111,0,1,47.0,52.0,0,0,False,True,False,False,True,False,True
112,0,3,14.5,14.4542,1,1,True,False,True,False,False,True,False
113,0,3,22.0,8.05,0,0,False,True,False,False,True,False,True
114,0,3,20.0,9.825,1,1,True,False,False,False,True,False,True
115,0,3,17.0,14.4583,0,1,True,False,True,False,False,True,False
116,0,3,21.0,7.925,0,0,False,True,False,False,True,False,True
117,0,3,70.5,7.75,0,0,False,True,False,True,False,False,True
118,0,2,29.0,21.0,1,0,False,True,False,False,True,False,True
119,0,1,24.0,247.5208,1,0,False,True,True,False,False,False,True
120,0,3,2.0,31.275,6,1,True,False,False,False,True,True,False
121,0,2,21.0,73.5,2,0,False,True,False,False,True,False,True
122,0,3,29.69911764705882,8.05,0,0,False,True,False,False,True,False,True
123,0,2,32.5,30.0708,1,0,False,True,True,False,False,False,True
124,1,2,32.5,13.0,0,1,True,False,False,False,True,False,True
125,0,1,54.0,77.2875,1,0,False,True,False,False,True,False,True
126,1,3,12.0,11.2417,1,0,False,True,True,False,False,True,False
127,0,3,29.69911764705882,7.75,0,0,False,True,False,True,False,False,True
128,1,3,24.0,7.1417,0,0,False,True,False,False,True,False,True
129,1,3,29.69911764705882,22.3583,2,1,True,False,True,False,False,False,True
130,0,3,45.0,6.975,0,0,False,True,False,False,True,False,True
131,0,3,33.0,7.8958,0,0,False,True,True,False,False,False,True
132,0,3,20.0,7.05,0,0,False,True,False,False,True,False,True
133,0,3,47.0,14.5,1,1,True,False,False,False,True,False,True
134,1,2,29.0,26.0,1,1,True,False,False,False,True,False,True
135,0,2,25.0,13.0,0,0,False,True,False,False,True,False,True
136,0,2,23.0,15.0458,0,0,False,True,True,False,False,False,True
137,1,1,19.0,26.2833,2,1,True,False,False,False,True,False,True
138,0,1,37.0,53.1,1,0,False,True,False,False,True,False,True
139,0,3,16.0,9.2167,0,0,False,True,False,False,True,True,False
140,0,1,24.0,79.2,0,0,False,True,True,False,False,False,True
141,0,3,29.69911764705882,15.2458,2,1,True,False,True,False,False,False,True
142,1,3,22.0,7.75,0,1,True,False,False,False,True,False,True
143,1,3,24.0,15.85,1,1,True,False,False,False,True,False,True
144,0,3,19.0,6.75,0,0,False,True,False,True,False,False,True
145,0,2,18.0,11.5,0,0,False,True,False,False,True,False,True
146,0,2,19.0,36.75,2,0,False,True,False,False,True,False,True
147,1,3,27.0,7.7958,0,0,False,True,False,False,True,False,True
148,0,3,9.0,34.375,4,1,True,False,False,False,True,True,False
149,0,2,36.5,26.0,2,0,False,True,False,False,True,False,True
150,0,2,42.0,13.0,0,0,False,True,False,False,True,False,True
151,0,2,51.0,12.525,0,0,False,True,False,False,True,False,True
152,1,1,22.0,66.6,1,1,True,False,False,False,True,False,True
153,0,3,55.5,8.05,0,0,False,True,False,False,True,False,True
154,0,3,40.5,14.5,2,0,False,True,False,False,True,False,True
155,0,3,29.69911764705882,7.3125,0,0,False,True,False,False,True,False,True
156,0,1,51.0,61.3792,1,0,False,True,True,False,False,False,True
157,1,3,16.0,7.7333,0,1,True,False,False,True,False,True,False
158,0,3,30.0,8.05,0,0,False,True,False,False,True,False,True
159,0,3,29.69911764705882,8.6625,0,0,False,True,False,False,True,False,True
160,0,3,29.69911764705882,69.55,10,0,False,True,False,False,True,False,True
161,0,3,44.0,16.1,1,0,False,True,False,False,True,False,True
162,1,2,40.0,15.75,0,1,True,False,False,False,True,False,True
163,0,3,26.0,7.775,0,0,False,True,False,False,True,False,True
164,0,3,17.0,8.6625,0,0,False,True,False,False,True,True,False
165,0,3,1.0,39.6875,5,0,False,True,False,False,True,True,False
166,1,3,9.0,20.525,2,0,False,True,False,False,True,True,False
167,1,1,29.69911764705882,55.0,1,1,True,False,False,False,True,False,True
168,0,3,45.0,27.9,5,1,True,False,False,False,True,False,True
169,0,1,29.69911764705882,25.925,0,0,False,True,False,False,True,False,True
170,0,3,28.0,56.4958,0,0,False,True,False,False,True,False,True
171,0,1,61.0,33.5,0,0,False,True,False,False,True,False,True
172,0,3,4.0,29.125,5,0,False,True,False,True,False,True,False
173,1,3,1.0,11.1333,2,1,True,False,False,False,True,True,False
174,0,3,21.0,7.925,0,0,False,True,False,False,True,False,True
175,0,1,56.0,30.6958,0,0,False,True,True,False,False,False,True
176,0,3,18.0,7.8542,2,0,False,True,False,False,True,False,True
177,0,3,29.69911764705882,25.4667,4,0,False,True,False,False,True,False,True
178,0,1,50.0,28.7125,0,1,True,False,True,False,False,False,True
179,0,2,30.0,13.0,0,0,False,True,False,False,True,False,True
180,0,3,36.0,0.0,0,0,False,True,False,False,True,False,True
181,0,3,29.69911764705882,69.55,10,1,True,False,False,False,True,False,True
182,0,2,29.69911764705882,15.05,0,0,False,True,True,False,False,False,True
183,0,3,9.0,31.3875,6,0,False,True,False,False,True,True,False
184,1,2,1.0,39.0,3,0,False,True,False,False,True,True,False
185,1,3,4.0,22.025,2,1,True,False,False,False,True,True,False
186,0,1,29.69911764705882,50.0,0,0,False,True,False,False,True,False,True
187,1,3,29.69911764705882,15.5,1,1,True,False,False,True,False,False,True
188,1,1,45.0,26.55,0,0,False,True,False,False,True,False,True
189,0,3,40.0,15.5,2,0,False,True,False,True,False,False,True
190,0,3,36.0,7.8958,0,0,False,True,False,False,True,False,True
191,1,2,32.0,13.0,0,1,True,False,False,False,True,False,True
192,0,2,19.0,13.0,0,0,False,True,False,False,True,False,True
193,1,3,19.0,7.8542,1,1,True,False,False,False,True,False,True
194,1,2,3.0,26.0,2,0,False,True,False,False,True,True,False
195,1,1,44.0,27.7208,0,1,True,False,True,False,False,False,True
196,1,1,58.0,146.5208,0,1,True,False,True,False,False,False,True
197,0,3,29.69911764705882,7.75,0,0,False,True,False,True,False,False,True
198,0,3,42.0,8.4042,1,0,False,True,False,False,True,False,True
199,1,3,29.69911764705882,7.75,0,1,True,False,False,True,False,False,True
200,0,2,24.0,13.0,0,1,True,False,False,False,True,False,True
201,0,3,28.0,9.5,0,0,False,True,False,False,True,False,True
202,0,3,29.69911764705882,69.55,10,0,False,True,False,False,True,False,True
203,0,3,34.0,6.4958,0,0,False,True,False,False,True,False,True
204,0,3,45.5,7.225,0,0,False,True,True,False,False,False,True
205,1,3,18.0,8.05,0,0,False,True,False,False,True,False,True
206,0,3,2.0,10.4625,1,1,True,False,False,False,True,True,False
207,0,3,32.0,15.85,1,0,False,True,False,False,True,False,True
208,1,3,26.0,18.7875,0,0,False,True,True,False,False,False,True
209,1,3,16.0,7.75,0,1,True,False,False,True,False,True,False
210,1,1,40.0,31.0,0,0,False,True,True,False,False,False,True
211,0,3,24.0,7.05,0,0,False,True,False,False,True,False,True
212,1,2,35.0,21.0,0,1,True,False,False,False,True,False,True
213,0,3,22.0,7.25,0,0,False,True,False,False,True,False,True
214,0,2,30.0,13.0,0,0,False,True,False,False,True,False,True
215,0,3,29.69911764705882,7.75,1,0,False,True,False,True,False,False,True
216,1,1,31.0,113.275,1,1,True,False,True,False,False,False,True
217,1,3,27.0,7.925,0,1,True,False,False,False,True,False,True
218,0,2,42.0,27.0,1,0,False,True,False,False,True,False,True
219,1,1,32.0,76.2917,0,1,True,False,True,False,False,False,True
220,0,2,30.0,10.5,0,0,False,True,False,False,True,False,True
221,1,3,16.0,8.05,0,0,False,True,False,False,True,True,False
222,0,2,27.0,13.0,0,0,False,True,False,False,True,False,True
223,0,3,51.0,8.05,0,0,False,True,False,False,True,False,True
224,0,3,29.69911764705882,7.8958,0,0,False,True,False,False,True,False,True
225,1,1,38.0,90.0,1,0,False,True,False,False,True,False,True
226,0,3,22.0,9.35,0,0,False,True,False,False,True,False,True
227,1,2,19.0,10.5,0,0,False,True,False,False,True,False,True
228,0,3,20.5,7.25,0,0,False,True,False,False,True,False,True
229,0,2,18.0,13.0,0,0,False,True,False,False,True,False,True
230,0,3,29.69911764705882,25.4667,4,1,True,False,False,False,True,False,True
231,1,1,35.0,83.475,1,1,True,False,False,False,True,False,True
232,0,3,29.0,7.775,0,0,False,True,False,False,True,False,True
233,0,2,59.0,13.5,0,0,False,True,False,False,True,False,True
234,1,3,5.0,31.3875,6,1,True,False,False,False,True,True,False
235,0,2,24.0,10.5,0,0,False,True,False,False,True,False,True
236,0,3,29.69911764705882,7.55,0,1,True,False,False,False,True,False,True
237,0,2,44.0,26.0,1,0,False,True,False,False,True,False,True
238,1,2,8.0,26.25,2,1,True,False,False,False,True,True,False
239,0,2,19.0,10.5,0,0,False,True,False,False,True,False,True
240,0,2,33.0,12.275,0,0,False,True,False,False,True,False,True
241,0,3,29.69911764705882,14.4542,1,1,True,False,True,False,False,False,True
242,1,3,29.69911764705882,15.5,1,1,True,False,False,True,False,False,True
243,0,2,29.0,10.5,0,0,False,True,False,False,True,False,True
244,0,3,22.0,7.125,0,0,False,True,False,False,True,False,True
245,0,3,30.0,7.225,0,0,False,True,True,False,False,False,True
246,0,1,44.0,90.0,2,0,False,True,False,True,False,False,True
247,0,3,25.0,7.775,0,1,True,False,False,False,True,False,True
248,1,2,24.0,14.5,2,1,True,False,False,False,True,False,True
249,1,1,37.0,52.5542,2,0,False,True,False,False,True,False,True
250,0,2,54.0,26.0,1,0,False,True,False,False,True,False,True
251,0,3,29.69911764705882,7.25,0,0,False,True,False,False,True,False,True
252,0,3,29.0,10.4625,2,1,True,False,False,False,True,False,True
253,0,1,62.0,26.55,0,0,False,True,False,False,True,False,True
254,0,3,30.0,16.1,1,0,False,True,False,False,True,False,True
255,0,3,41.0,20.2125,2,1,True,False,False,False,True,False,True
256,1,3,29.0,15.2458,2,1,True,False,True,False,False,False,True
257,1,1,29.69911764705882,79.2,0,1,True,False,True,False,False,False,True
258,1,1,30.0,86.5,0,1,True,False,False,False,True,False,True
259,1,1,35.0,512.3292,0,1,True,False,True,False,False,False,True
260,1,2,50.0,26.0,1,1,True,False,False,False,True,False,True
261,0,3,29.69911764705882,7.75,0,0,False,True,False,True,False,False,True
262,1,3,3.0,31.3875,6,0,False,True,False,False,True,True,False
263,0,1,52.0,79.65,2,0,False,True,False,False,True,False,True
264,0,1,40.0,0.0,0,0,False,True,False,False,True,False,True
265,0,3,29.69911764705882,7.75,0,1,True,False,False,True,False,False,True
266,0,2,36.0,10.5,0,0,False,True,False,False,True,False,True
267,0,3,16.0,39.6875,5,0,False,True,False,False,True,True,False
268,1,3,25.0,7.775,1,0,False,True,False,False,True,False,True
269,1,1,58.0,153.4625,1,1,True,False,False,False,True,False,True
270,1,1,35.0,135.6333,0,1,True,False,False,False,True,False,True
271,0,1,29.69911764705882,31.0,0,0,False,True,False,False,True,False,True
272,1,3,25.0,0.0,0,0,False,True,False,False,True,False,True
273,1,2,41.0,19.5,1,1,True,False,False,False,True,False,True
274,0,1,37.0,29.7,1,0,False,True,True,False,False,False,True
275,1,3,29.69911764705882,7.75,0,1,True,False,False,True,False,False,True
276,1,1,63.0,77.9583,1,1,True,False,False,False,True,False,True
277,0,3,45.0,7.75,0,1,True,False,False,False,True,False,True
278,0,2,29.69911764705882,0.0,0,0,False,True,False,False,True,False,True
279,0,3,7.0,29.125,5,0,False,True,False,True,False,True,False
280,1,3,35.0,20.25,2,1,True,False,False,False,True,False,True
281,0,3,65.0,7.75,0,0,False,True,False,True,False,False,True
282,0,3,28.0,7.8542,0,0,False,True,False,False,True,False,True
283,0,3,16.0,9.5,0,0,False,True,False,False,True,True,False
284,1,3,19.0,8.05,0,0,False,True,False,False,True,False,True
285,0,1,29.69911764705882,26.0,0,0,False,True,False,False,True,False,True
286,0,3,33.0,8.6625,0,0,False,True,True,False,False,False,True
287,1,3,30.0,9.5,0,0,False,True,False,False,True,False,True
288,0,3,22.0,7.8958,0,0,False,True,False,False,True,False,True
289,1,2,42.0,13.0,0,0,False,True,False,False,True,False,True
290,1,3,22.0,7.75,0,1,True,False,False,True,False,False,True
291,1,1,26.0,78.85,0,1,True,False,False,False,True,False,True
292,1,1,19.0,91.0792,1,1,True,False,True,False,False,False,True
293,0,2,36.0,12.875,0,0,False,True,True,False,False,False,True
294,0,3,24.0,8.85,0,1,True,False,False,False,True,False,True
295,0,3,24.0,7.8958,0,0,False,True,False,False,True,False,True
296,0,1,29.69911764705882,27.7208,0,0,False,True,True,False,False,False,True
297,0,3,23.5,7.2292,0,0,False,True,True,False,False,False,True
